"INGREDIENT_ID","INGREDIENT_NAME","CATEGORY","DESCRIPTION","CREATED_AT"
2,"番茄","蔬菜","新鲜番茄，富含番茄红素",18-DEC-25 03.24.26.307000000 PM
3,"黄瓜","蔬菜","清爽爽脆的夏日蔬菜",18-DEC-25 03.24.26.307000000 PM
4,"洋葱","蔬菜","提味的调味蔬菜",18-DEC-25 03.24.26.307000000 PM
5,"大蒜","蔬菜","香味十足的调味料",18-DEC-25 03.24.26.307000000 PM
6,"胡萝卜","蔬菜","富含β胡萝卜素",18-DEC-25 03.24.26.307000000 PM
7,"土豆","蔬菜","淀粉丰富的根茎蔬菜",18-DEC-25 03.24.26.307000000 PM
8,"生菜","蔬菜","爽脆的沙拉菜",18-DEC-25 03.24.26.307000000 PM
9,"甘蓝","蔬菜","营养丰富的卷心菜",18-DEC-25 03.24.26.307000000 PM
10,"菠菜","蔬菜","含铁丰富的绿叶菜",18-DEC-25 03.24.26.307000000 PM
11,"西兰花","蔬菜","十字花科蔬菜，含硫苷",18-DEC-25 03.24.26.307000000 PM
12,"青豆","蔬菜","嫩豆荚",18-DEC-25 03.24.26.307000000 PM
13,"辣椒","蔬菜","增添风味和营养",18-DEC-25 03.24.26.307000000 PM
14,"南瓜","蔬菜","秋季应季蔬菜",18-DEC-25 03.24.26.307000000 PM
15,"茄子","蔬菜","紫色蔬菜，含花青素",18-DEC-25 03.24.26.307000000 PM
16,"冬瓜","蔬菜","清热利湿的蔬菜",18-DEC-25 03.24.26.307000000 PM
17,"苦瓜","蔬菜","清苦甘甜",18-DEC-25 03.24.26.307000000 PM
18,"冬笋","蔬菜","春笋的冬季版本",18-DEC-25 03.24.26.307000000 PM
19,"香菇","蔬菜","营养丰富的菌类",18-DEC-25 03.24.26.307000000 PM
20,"口蘑","蔬菜","白色蘑菇",18-DEC-25 03.24.26.307000000 PM
21,"木耳","蔬菜","黑色菌类，含胶质",18-DEC-25 03.24.26.307000000 PM
22,"豌豆","蔬菜","春季豆类",18-DEC-25 03.24.26.307000000 PM
23,"玉米","蔬菜","黄色的谷物蔬菜",18-DEC-25 03.24.26.307000000 PM
24,"芹菜","蔬菜","低热量蔬菜",18-DEC-25 03.24.26.307000000 PM
25,"萝卜","蔬菜","十字花科根菜",18-DEC-25 03.24.26.307000000 PM
26,"山药","蔬菜","淀粉含量高",18-DEC-25 03.24.26.307000000 PM
27,"鸡肉","肉类","低脂肉类",18-DEC-25 03.29.20.261000000 PM
28,"鸡腿","肉类","鸡腿肉",18-DEC-25 03.29.20.261000000 PM
29,"鸡翅","肉类","鸡翅",18-DEC-25 03.29.20.261000000 PM
30,"鸡胸","肉类","低脂高蛋白",18-DEC-25 03.29.20.261000000 PM
31,"五花肉","肉类","猪肉中脂肪较多的部分",18-DEC-25 03.29.20.261000000 PM
32,"瘦肉","肉类","猪肉中的瘦肉部分",18-DEC-25 03.29.20.261000000 PM
