"TABLE_NAME","CONSTRAINT_NAME","CONSTRAINT_TYPE","SEARCH_CONDITION"
"ALLERGENS","SYS_C0012005","C","""ALLERGEN_NAME"" IS NOT NULL"
"ALLERGENS","SYS_C0012007","U",""
"ALLERGENS","SYS_C0012006","P",""
"BIN$MFQwDZMTQhaswNZKtUcG5A==$0","BIN$Y3UkeFZ/T32FD0NW2Q5kiw==$0","C","""USER_ID"" IS NOT NULL"
"BIN$MFQwDZMTQhaswNZKtUcG5A==$0","BIN$Pxfu1vT6QaW3s0RRA9jlTQ==$0","C","""PLAN_NAME"" IS NOT NULL"
"BIN$MFQwDZMTQhaswNZKtUcG5A==$0","BIN$qmNrex5VTy+38konjNW9IA==$0","C","""START_DATE"" IS NOT NULL"
"BIN$MFQwDZMTQhaswNZKtUcG5A==$0","BIN$OGpME5/2SAueWwL2htdXNw==$0","P",""
"BIN$MFQwDZMTQhaswNZKtUcG5A==$0","BIN$1nmfrqDHQrSCVIkBly1eHw==$0","C","""IS_PUBLIC"" IS NOT NULL"
"BIN$MFQwDZMTQhaswNZKtUcG5A==$0","BIN$bWLVaBumQ1SDxwvlz1+GIA==$0","C","start_date <= end_date"
"BIN$MFQwDZMTQhaswNZKtUcG5A==$0","BIN$mgLu3DmJSvulha0KwZSKVQ==$0","C","is_public IN ('Y', 'N')"
"BIN$MFQwDZMTQhaswNZKtUcG5A==$0","BIN$KcPn+/5nQF2GwkxUZyc7zQ==$0","C","""END_DATE"" IS NOT NULL"
"COLLECTION_RECIPES","FK_CR_COLLECTION","R",""
"COLLECTION_RECIPES","SYS_C0012115","C","""RECIPE_ID"" IS NOT NULL"
"COLLECTION_RECIPES","SYS_C0012114","C","""COLLECTION_ID"" IS NOT NULL"
"COLLECTION_RECIPES","FK_CR_RECIPE","R",""
"COLLECTION_RECIPES","SYS_C0012116","P",""
"COMMENTS","FK_COMMENTS_PARENT","R",""
"COMMENTS","CK_COMMENTS_IS_DELETED","C","is_deleted IN ('Y', 'N')"
"COMMENTS","SYS_C0012073","P",""
"COMMENTS","SYS_C0012070","C","""COMMENT_TEXT"" IS NOT NULL"
"COMMENTS","SYS_C0012069","C","""RECIPE_ID"" IS NOT NULL"
"COMMENTS","SYS_C0012068","C","""USER_ID"" IS NOT NULL"
"COMMENTS","FK_COMMENTS_USER","R",""
"COMMENTS","FK_COMMENTS_RECIPE","R",""
"COMMENTS","SYS_C0012071","C","""IS_DELETED"" IS NOT NULL"
"COMMENT_HELPFULNESS","FK_CH_COMMENT","R",""
"COMMENT_HELPFULNESS","SYS_C0012078","C","""USER_ID"" IS NOT NULL"
"COMMENT_HELPFULNESS","SYS_C0012077","C","""COMMENT_ID"" IS NOT NULL"
"COMMENT_HELPFULNESS","SYS_C0012079","P",""
"COMMENT_HELPFULNESS","FK_CH_USER","R",""
"COOKING_STEPS","SYS_C0012030","C","""RECIPE_ID"" IS NOT NULL"
"COOKING_STEPS","SYS_C0012033","P",""
"COOKING_STEPS","UK_RECIPE_STEP","U",""
"COOKING_STEPS","SYS_C0012031","C","""STEP_NUMBER"" IS NOT NULL"
"COOKING_STEPS","SYS_C0012032","C","""INSTRUCTION"" IS NOT NULL"
"COOKING_STEPS","FK_CS_RECIPE","R",""
"FOLLOWERS","SYS_C0012088","C","""USER_ID"" IS NOT NULL"
"FOLLOWERS","SYS_C0012089","C","""FOLLOWER_USER_ID"" IS NOT NULL"
"FOLLOWERS","SYS_C0012091","P",""
"FOLLOWERS","FK_FOLLOWERS_USER","R",""
"FOLLOWERS","FK_FOLLOWERS_FOLLOWER","R",""
"FOLLOWERS","CK_NOT_SELF_FOLLOW","C","user_id != follower_user_id"
"INGREDIENTS","SYS_C0012000","P",""
"INGREDIENTS","SYS_C0012001","U",""
"INGREDIENTS","SYS_C0011998","C","""INGREDIENT_NAME"" IS NOT NULL"
"INGREDIENTS","SYS_C0011999","C","""CATEGORY"" IS NOT NULL"
"INGREDIENT_ALLERGENS","SYS_C0012041","C","""ALLERGEN_ID"" IS NOT NULL"
"INGREDIENT_ALLERGENS","SYS_C0012040","C","""INGREDIENT_ID"" IS NOT NULL"
"INGREDIENT_ALLERGENS","FK_IA_ALLERGEN","R",""
"INGREDIENT_ALLERGENS","SYS_C0012042","P",""
"INGREDIENT_ALLERGENS","FK_IA_INGREDIENT","R",""
"INGREDIENT_SUBSTITUTIONS","FK_IS_ORIGINAL","R",""
"INGREDIENT_SUBSTITUTIONS","FK_IS_SUBSTITUTE","R",""
"INGREDIENT_SUBSTITUTIONS","SYS_C0012046","C","""SUBSTITUTE_INGREDIENT_ID"" IS NOT NULL"
"INGREDIENT_SUBSTITUTIONS","SYS_C0012045","C","""ORIGINAL_INGREDIENT_ID"" IS NOT NULL"
"INGREDIENT_SUBSTITUTIONS","SYS_C0012048","P",""
